capture,captured_messages,unique_U_within_capture,identity_mode,proposed_episodes,reentry_ambiguous_episodes,evaluable_episodes,evaluable_ordered,ordered_rate,evaluable_later_progressions,later_progression_rate,voted_latency_count,voted_latency_median_ms,finalized_latency_count,finalized_latency_median_ms,committed_latency_count,committed_latency_median_ms
kuru_ws_20260905T233039949275Z.json,1109,146,price_quantity,657,563,92,67,0.7282608695652174,4,0.043478260869565216,4,269.9355,4,533.468,4,533.468
kuru_ws_20260905T233039949275Z.json,1109,146,price,653,566,85,65,0.7647058823529411,3,0.03529411764705882,3,290.99199999999996,3,538.413,3,538.413
kuru_ws_20260905T233212584800Z.json,1209,153,price_quantity,750,655,91,63,0.6923076923076923,15,0.16483516483516483,15,66.065,15,260.35999999999996,15,260.35999999999996
kuru_ws_20260905T233212584800Z.json,1209,153,price,745,660,82,58,0.7073170731707317,10,0.12195121951219512,10,67.978,10,255.07099999999997,10,255.07099999999997
kuru_ws_20260905T233345251807Z.json,1132,153,price_quantity,736,658,74,55,0.7432432432432432,10,0.13513513513513514,10,136.995,10,443.386,10,443.386
kuru_ws_20260905T233345251807Z.json,1132,153,price,736,659,73,56,0.7671232876712328,11,0.1506849315068493,11,114.468,11,476.016,11,476.016
kuru_ws_20260905T233517872935Z.json,1243,170,price_quantity,900,838,58,37,0.6379310344827587,5,0.08620689655172414,5,138.93800000000002,5,349.666,5,349.666
kuru_ws_20260905T233517872935Z.json,1243,170,price,899,845,50,36,0.72,3,0.06,3,138.93800000000002,3,307.259,3,307.259
kuru_ws_20260905T233650736812Z.json,1466,159,price_quantity,824,642,176,83,0.4715909090909091,24,0.13636363636363635,24,0.0,24,373.29949999999997,24,373.29949999999997
kuru_ws_20260905T233650736812Z.json,1466,159,price,814,674,135,74,0.5481481481481482,18,0.13333333333333333,18,0.0,18,381.161,18,381.161
